review,rating,date,bank,source,sentiment_label,sentiment_score,processed_text,theme
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,NEUTRAL,0.0,app telling turn developer option please fix,UI/UX
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,POSITIVE,0.375,happy small prob transfer cant put transfer cashe bil dic,Transactions
amazing apps,5,2025-05-06,CBE,Google Play,POSITIVE,0.6000000000000001,amazing apps,Other
All service of Mobile Banking,5,2025-05-06,CBE,Google Play,NEUTRAL,0.0,service mobile banking,Customer Support
needs improvement,1,2025-05-06,CBE,Google Play,NEUTRAL,0.0,need improvement,Other
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,NEUTRAL,-0.0124999999999999,miss old one could send mony bank,Transactions
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play,POSITIVE,0.4297619047619048,app recently crushing time open try make transfer used good take lesson dashen super app ethiotelecom befitting experience glory making friendly convenient considering leaving cbe good,UI/UX
good but these week not oky,4,2025-05-06,CBE,Google Play,POSITIVE,0.7,good week oky,Other
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,POSITIVE,1.0,well designed fixing bug two step verification biometric simply great,Other
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,POSITIVE,0.3999999999999999,developer reading please fix screenshot functionality least download button work flawlessly without touching twenty time,Other
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,POSITIVE,0.3916666666666666,great one thing placed transfer bank face like mobile charge card place,Transactions
CBE mobilr bankg,5,2025-05-05,CBE,Google Play,NEUTRAL,0.0,cbe mobilr bankg,Other
verygood,3,2025-05-05,CBE,Google Play,NEUTRAL,0.0,verygood,Other
ممتاز جدا,5,2025-05-04,CBE,Google Play,NEUTRAL,0.0,ممتاز جدا,Other
it's very low quality application,1,2025-05-04,CBE,Google Play,NEUTRAL,0.0,low quality application,Other
Very Amazing Apps,5,2025-05-04,CBE,Google Play,POSITIVE,0.7800000000000001,amazing apps,Other
አዛ,1,2025-05-04,CBE,Google Play,NEUTRAL,0.0,አዛ,Other
wow simple life,5,2025-05-04,CBE,Google Play,NEUTRAL,0.05,wow simple life,Other
it's nice,5,2025-05-03,CBE,Google Play,POSITIVE,0.6,nice,Other
Why stacked sometimes,5,2025-05-03,CBE,Google Play,NEUTRAL,0.0,stacked sometimes,Other
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,POSITIVE,0.3,okay sometimes busy,Other
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,NEGATIVE,-0.1699999999999999,worst commercial company fails even normal thing,Other
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,NEUTRAL,0.0699999999999999,good app disappointed general cessation system,UI/UX
Good and fast,5,2025-05-02,CBE,Google Play,POSITIVE,0.4499999999999999,good fast,Other
Unreliable!,1,2025-05-02,CBE,Google Play,NEUTRAL,0.0,unreliable,Other
Best the best fast,5,2025-05-02,CBE,Google Play,POSITIVE,0.7333333333333334,best best fast,Other
happy,5,2025-05-02,CBE,Google Play,POSITIVE,0.8,happy,Other
fast and reliable,5,2025-05-02,CBE,Google Play,POSITIVE,0.2,fast reliable,Other
network errorrrrrr,2,2025-05-02,CBE,Google Play,NEUTRAL,0.0,network errorrrrrr,Other
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,POSITIVE,0.675,best app problem ca send money telebirr mpesa add could use full,UI/UX
its good and simple to use,5,2025-05-02,CBE,Google Play,POSITIVE,0.35,good simple use,Other
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,NEUTRAL,0.0,worest app like bank security network access,UI/UX
