review,rating,date,bank,source,sentiment_label,sentiment_score
work on screen shot system,4,2025-04-08,CBE,Google Play,NEUTRAL,0.0
very very nice aplication,1,2025-04-08,CBE,Google Play,POSITIVE,0.78
wonder full and it is easy to use,5,2025-04-08,CBE,Google Play,POSITIVE,0.39166666666666666
easy and reliable,2,2025-04-08,CBE,Google Play,POSITIVE,0.43333333333333335
it is Very Useful app 👍,5,2025-04-07,CBE,Google Play,POSITIVE,0.39
perfect app,5,2025-04-07,CBE,Google Play,POSITIVE,1.0
I like it.,5,2025-04-07,CBE,Google Play,NEUTRAL,0.0
bugs,3,2025-04-07,CBE,Google Play,NEUTRAL,0.0
commerial Bank,5,2025-04-06,CBE,Google Play,NEUTRAL,0.0
Genat biru,2,2025-04-06,CBE,Google Play,NEUTRAL,0.0
🙏,5,2025-04-06,CBE,Google Play,NEUTRAL,0.0
it is good but it doesn't allow screen shot,4,2025-04-06,CBE,Google Play,POSITIVE,0.7
the best one,5,2025-04-06,CBE,Google Play,POSITIVE,1.0
You need to copy many things from other bank apps like Amole(Dashen),2,2025-04-06,CBE,Google Play,POSITIVE,0.1875
bring back the screenshot feature.,1,2025-04-05,CBE,Google Play,NEUTRAL,0.0
Good!👍,3,2025-04-05,CBE,Google Play,NEUTRAL,0.0
best app to experience him that to smooth transaction among the customers,1,2025-04-05,CBE,Google Play,POSITIVE,0.7
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05,CBE,Google Play,POSITIVE,0.175
easy to use,5,2025-04-05,CBE,Google Play,POSITIVE,0.43333333333333335
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,2025-04-04,CBE,Google Play,POSITIVE,0.3194444444444444
ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,5,2025-04-04,CBE,Google Play,NEUTRAL,0.0
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,2025-04-04,CBE,Google Play,POSITIVE,0.15606060606060604
cool ❤,4,2025-04-04,CBE,Google Play,POSITIVE,0.35
Best app,5,2025-04-04,CBE,Google Play,POSITIVE,1.0
best banking App,4,2025-04-03,CBE,Google Play,POSITIVE,1.0
satisfied,5,2025-04-03,CBE,Google Play,POSITIVE,0.5
this app is very necessary app many people found it,5,2025-04-03,CBE,Google Play,POSITIVE,0.25
cbe very active Bank I'm using CBE app very very satisfaction,5,2025-04-03,CBE,Google Play,NEUTRAL,0.043333333333333335
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,2025-04-03,CBE,Google Play,POSITIVE,0.45499999999999996
perfect,5,2025-04-03,CBE,Google Play,POSITIVE,1.0
thankyou,5,2025-04-02,CBE,Google Play,NEUTRAL,0.0
I Like it,5,2025-04-02,CBE,Google Play,NEUTRAL,0.0
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,CBE,Google Play,POSITIVE,0.4
smart app,5,2025-04-02,CBE,Google Play,POSITIVE,0.21428571428571427
isin ga'a,2,2025-04-02,CBE,Google Play,NEUTRAL,0.0
it's great,5,2025-04-02,CBE,Google Play,POSITIVE,0.8
very good app and stars faction with work,5,2025-04-02,CBE,Google Play,POSITIVE,0.9099999999999999
It is excelent,5,2025-04-01,CBE,Google Play,NEUTRAL,0.0
Smart,5,2025-04-01,CBE,Google Play,POSITIVE,0.21428571428571427
በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,3,2025-04-01,CBE,Google Play,NEUTRAL,0.0
very interesting app,5,2025-04-01,CBE,Google Play,POSITIVE,0.65
wow.......cbe.....keep it up.....!!!!!!,5,2025-04-01,CBE,Google Play,NEUTRAL,0.0
ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,5,2025-04-01,CBE,Google Play,NEUTRAL,0.0
Excellent🙏app,5,2025-04-01,CBE,Google Play,NEUTRAL,0.0
the most useful,5,2025-04-01,CBE,Google Play,POSITIVE,0.4
I am more satisfied in this app . More sure you have to secure.,4,2025-04-01,CBE,Google Play,POSITIVE,0.48
Easy to use,5,2025-04-01,CBE,Google Play,POSITIVE,0.43333333333333335
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,2025-04-01,CBE,Google Play,POSITIVE,0.9099999999999999
Excellent !!!,5,2025-04-01,CBE,Google Play,POSITIVE,1.0
always we relay on,5,2025-04-01,CBE,Google Play,NEUTRAL,0.0
I'm lucky to have this🙏 thank you CBE.,5,2025-04-01,CBE,Google Play,POSITIVE,0.3333333333333333
it's need more improvement like Tellbirr.,4,2025-04-01,CBE,Google Play,POSITIVE,0.5
